Roll_no	Name_of_Student	Telugu	English	Maths	Science	Social	Total_Marks
101	Sai 	20	56	82	23	22	121
102	Rohith	27	87	75	29	17	160
103	Reddy	48	70	22	6	53	177
104	Bharath	24	35	17	89	47	195
105	Rao	11	3	50	56	8	78
106	Ram	67	88	28	66	33	254
107	Kranthi	92	69	67	37	36	234
108	Praveen	19	24	92	72	19	134
109	Raj	60	43	44	48	51	202
110	Kiran	97	84	67	98	94	373
111	Pranay	45	82	37	66	83	276
112	Sham	70	35	13	72	84	261
113	Mani	33	56	44	16	90	195
114	Nani	92	22	23	47	64	225
115	Pooji	60	32	95	6	63	161
116	Dinesh	24	62	35	56	62	204
117	Kishor	96	53	16	65	91	305
118	Prasad	34	93	32	33	81	241
119	Krishna	76	26	78	16	3	121
120	Ravi	22	78	23	93	16	209
